"year_category","region","A_adjusted","B_adjusted","C_adjusted","D_adjusted","F_adjusted","G_adjusted","H_adjusted","J_adjusted","K_adjusted","L_adjusted","N_adjusted","O_adjusted","P_adjusted","CRF01_AE_adjusted","CRF02_AG_adjusted","CRF03_A6B_adjusted","CRF04_cpx_adjusted","CRF05_DF_adjusted","CRF06_cpx_adjusted","CRF07_BC_adjusted","CRF08_BC_adjusted","CRF09_cpx_adjusted","CRF10_CD_adjusted","CRF11_cpx_adjusted","CRF12_BF_adjusted","CRF13_cpx_adjusted","CRF14_BG_adjusted","CRF15_01B_adjusted","CRF16_A2D_adjusted","CRF17_BF1_adjusted","CRF18_cpx_adjusted","CRF19_cpx_adjusted","CRF20_BG_adjusted","CRF21_A2D_adjusted","CRF22_01A1_adjusted","CRF23_BG_adjusted","CRF24_BG_adjusted","CRF25_cpx_adjusted","CRF26_A5U_adjusted","CRF27_cpx_adjusted","CRF28_BF1_adjusted","CRF29_BF1_adjusted","CRF30_0206_adjusted","CRF31_BC_adjusted","CRF32_06A6_adjusted","CRF33_01B_adjusted","CRF34_01B_adjusted","CRF35_A1D_adjusted","CRF36_cpx_adjusted","CRF37_cpx_adjusted","CRF38_BF1_adjusted","CRF39_BF1_adjusted","CRF40_BF1_adjusted","CRF41_CD_adjusted","CRF42_BF1_adjusted","CRF43_02G_adjusted","CRF44_BF_adjusted","CRF45_cpx_adjusted","CRF46_BF1_adjusted","CRF47_BF1_adjusted","CRF48_01B_adjusted","CRF49_cpx_adjusted","CRF50_A1D_adjusted","CRF51_01B_adjusted","CRF52_01B_adjusted","CRF53_01B_adjusted","CRF54_01B_adjusted","CRF55_01B_adjusted","CRF56_cpx_adjusted","CRF57_BC_adjusted","CRF58_01B_adjusted","CRF59_01B_adjusted","CRF60_BC_adjusted","CRF61_BC_adjusted","CRF62_BC_adjusted","CRF63_02A1_adjusted","CRF64_BC_adjusted","CRF65_cpx_adjusted","CRF66_BF1_adjusted","CRF67_01B_adjusted","CRF68_01B_adjusted","CRF69_01B_adjusted","CRF70_BF_adjusted","CRF71_BF_adjusted","CRF72_BF_adjusted","CRF73_BG_adjusted","CRF74_01B_adjusted","CRF75_BF1_adjusted","CRF76_01B_adjusted","CRF77_cpx_adjusted","CRF78_cpx_adjusted","CRF79_0107_adjusted","CRF80_0107_adjusted","CRF81_cpx_adjusted","CRF82_cpx_adjusted","CRF83_cpx_adjusted","CRF84_A1D_adjusted","CRF85_BC_adjusted","CRF86_BC_adjusted","CRF87_cpx_adjusted","CRF88_BC_adjusted","CRF89_BF1_adjusted","CRF90_BF1_adjusted","CRF91_cpx_adjusted","CRF92_C2U_adjusted","CRF93_cpx_adjusted","CRF94_cpx_adjusted","CRF95_02B_adjusted","CRF96_cpx_adjusted","CRF97_01b_adjusted","CRF98_06B_adjusted","CRF99_BF1_adjusted","CRF100_01C_adjusted","CRF101_01B_adjusted","CRF102_0107_adjusted","CRF103_01B_adjusted","CRF104_0107_adjusted","CRF105_0108_adjusted","CRF106_cpx_adjusted","CRF107_01B_adjusted","CRF108_BC_adjusted","CRF109_0107_adjusted","CRF110_BC_adjusted","CRF111_01C_adjusted","CRF112_01B_adjusted","CRF113_0107_adjusted","CRF114_0155_adjusted","CRF115_01C_adjusted","CRF116_0108_adjusted","CRF117_0107_adjusted","CRF118_BC_adjusted","CRF119_0107_adjusted","CRF120_0107_adjusted","CRF121_0107_adjusted","CRF122_BF1_adjusted","CRF123_0107_adjusted","CRF124_cpx_adjusted","CRF125_0107_adjusted","CRF126_0755_adjusted","CRF127_07109_adjusted","CRF128_07B_adjusted","CRF129_56G_adjusted","CRF130_A1B_adjusted","CRF131_A1B_adjusted","CRF132_94B_adjusted","CRF133_A6B_adjusted","CRF134_0107_adjusted","CRF135_0107_adjusted","CRF136_0107_adjusted","CRF137_0107_adjusted","CRF138_cpx_adjusted","CRF139_02B_adjusted","CRF140_0107_adjusted","CRF141_BF1_adjusted","CRF142_BC_adjusted","CRF143_cpx_adjusted","CRF145_0755_adjusted","CRF146_BC_adjusted","CRF147_A6B_adjusted","CRF148_cpx_adjusted","CRF149_01B_adjusted","CRF150_01B_adjusted","CRF151_0107_adjusted","CRF152_DG_adjusted","CRF153_55B_adjusted","CRF154_0755_adjusted","CRF155_0755_adjusted","CRF156_0755_adjusted","CRF157_A6C_adjusted","CRF159_01103_adjusted","CRF170_0107_adjusted","Number of unspecified CRFs_adjusted","total_CRF_adjusted","other_CRF_adjusted","URFs_adjusted","unspecified_recombinants_adjusted","total_recombinants_adjusted","Total number genotyped_adjusted","total_recorded_genotypes_adj"
"1990-1994","caribbean",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33
"1995-1999","caribbean",0.00290648477222725,0.820460181158621,0.0104486288014245,0.0557750748695761,0.00492998682884116,0.014274887235749,0.00213387489606558,0.00176596543122668,0,0,0,0,0,0.00242820246793669,0.0406539958646976,0,0,0,0.000367909464838892,0,0,0.000110372839451668,0,0.00110372839451668,0.000367909464838892,0.000110372839451668,0,0,0,0,0.000367909464838892,0.000441491357806671,0,0,0,0,0.000367909464838892,0.000331118518355003,0,0,0,0,0,0,0,0,0,0,0,0.00121410123396834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478650213755399,0,0.0394398946307293,0,0.0873049160062692,566.2625,566.2625
"2000-2004","caribbean",0.00452751498920052,0.755058414018558,0.0215142672181698,0.00479977090169142,0.00223048177196248,0.0122535327725534,0.00623970217219884,0,0,0,0,0,0,0.00146413179606217,0.0259328798423739,0,0,0,0.000141169732402689,0,0,0.000211754598604033,0,0.000423509197208066,0.000334773936840662,0.000211754598604033,0,0,0,0,0.0208084185561563,0.05460445249336,0.014229909026191,0,0,0.00406568829319743,0.0136934640430608,0.000635263795812099,0,0,0,0,0,0,0,0,0,0,0,0.000635263795812099,0,0.000193604204437973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137586037910123,0,0.0499821521124034,0.00580812613313919,0.193376316155666,1473.64583333333,1475.76488095238
"2005-2009","caribbean",0.00841099342938524,0.732414580545032,0.0237754152756751,0.0188081486370477,0.00159031276594443,0.0134429047655911,0.00205958538540344,0.000417131217296899,0,0,0,0,0,0.00135514440109082,0.0170446519282077,0,0,0.000223463152123339,9.31096467180579e-05,0,0,0.000139664470077087,0,0.000279328940154174,0.000252726183949014,0.000139664470077087,0,0,0,0,0.0269406112089649,0.0434955063954356,0.00585260636513507,0,0,0.0129012726492541,0.00398775315515339,0.00041899341023126,0,0,0,0,0,0.000148975434748893,0,0,0,0,0,0.00041899341023126,0,0.000159616537230956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015195494344387,0.12904757610317,0,0.0625632979330457,0.00747005394240876,0.199080927978624,2257.14821428571,2237.50535714286
"2010-2014","caribbean",0.00869526152133949,0.614310552496898,0.0303489449126444,0.00617851514417636,0.00127639983517416,0.0171523070426805,0.00279328079871446,0.000338259169569963,0,0,0,0,0,0.00165920652930802,0.0128128873723435,0,0,0.00015855898573592,6.60662440566335e-05,0,0,9.90993660849502e-05,0,0.0001981987321699,0.000433017039616906,9.90993660849502e-05,0,0,0,0,0.0430129000948145,0.0798646510296047,0.0129716351187767,0,0,0.0130441192265417,0.0107484116259224,0.000297298098254851,0,0,0,0,0,0.000211411980981227,0,0,0,0,0,0.000297298098254851,0,0.0001132564183828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539100551502129,0.229997170477147,0,0.0855116160501711,0.00339769255148401,0.318906479078802,3212.87678571429,3153.4005952381
"2015-2019","caribbean",0.00388345607469113,0.788784256911747,0.00750533220652743,0.0270232202503119,0.000804861362630287,0.00462795283512415,0.000100607670328786,0,0,0,0,0,0,0.00132802124833997,0.00975894402189223,0,0,0,0.000100607670328786,0,0,0,0,0.000301823010986358,0.000824982896696044,0,0,0,0,0,0.0296792627469918,0.0265604249667995,0.0319932391645539,0,0,0,0.00227373334943056,0,0,0,0,0,0,0,0,0,0,0,0,0.000301823010986358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103122862087006,0,0.0134411847559258,0.0507062658457081,0.167270312688639,1657.6,1656.6
"1990-1994","central_africa",0.677527551509344,0.00574988021082894,0.0124580737901294,0.0402491614758026,0.0134163871586009,0.0268327743172017,0.0987062769525635,0.0301868711068519,0,0,0,0,0,0.0747484427407762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747484427407762,0,0.0201245807379013,0,0.0948730234786775,99.3809523809524,99.3809523809524
"1995-1999","central_africa",0.488676258821569,0.00702155259618932,0.0555059683197068,0.0743927547097957,0.0426529567876992,0.0758089661656372,0.0766063289180858,0.0158282456829352,0.006664524498078,0,0,0,0,0.0142216192414343,0.0763088055029931,0,0,0.0016661311245195,0.0023325835743273,0,0,0.00016661311245195,0,0.00949694740976115,0,0.00049983933735585,0,0,0,0,0.00016661311245195,0,0,0,0.00049983933735585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105358991752651,0,0.0514834517476525,0,0.156842443500303,1204.38571428571,1200.38571428571
"2000-2004","central_africa",0.320072496601722,0.00471227911191663,0.0893520616221115,0.0963298595378342,0.0400543724512913,0.10385138196647,0.0522881739918441,0.0260987766198459,0.00869959220661531,0.000543724512913457,0,0,0,0.0198459447213412,0.0752152242863616,0,0,0.00815586769370186,0.00289986406887177,0,0,0.000181241504304486,0,0.00996828273674671,0,0.00217489805165383,0.000543724512913457,0,0,0,0.0050747621205256,0.000543724512913457,0,0,0.000543724512913457,0,0,0.00163117353874037,0,0.00108744902582691,0,0,0,0,0,0,0,0,0,0.000543724512913457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128409605799728,0,0.114907113729044,0.0146805618486633,0.257997281377435,1861.16666666667,1839.16666666667
"2005-2009","central_africa",0.167515923566879,0.00934182590233546,0.139490445859873,0.0605095541401274,0.0420382165605096,0.0751592356687898,0.0496815286624204,0.0152866242038217,0.00169851380042463,0,0,0,0,0.0210191082802548,0.130148619957537,0,0,0.00127388535031847,0.00849256900212314,0,0,0.00658174097664544,0,0.0734607218683652,0.00254777070063694,0.0127388535031847,0.00191082802547771,0.000636942675159236,0,0,0.00721868365180467,0.000636942675159236,0,0,0.00509554140127389,0,0,0.00785562632696391,0.00382165605095541,0.000636942675159236,0.000636942675159236,0,0,0,0,0,0,0,0,0.010828025477707,0,0,0,0,0,0.00191082802547771,0,0.013588110403397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31104033970276,0,0.123779193205945,0.00445859872611465,0.439278131634819,1802,1570
